number,segment,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
1,TWK,"Sikap nasionalisme dalam konteks global cenderung menekankan pada kecintaan terhadap bangsa secara eksklusif, bahkan berpotensi menumbuhkan sikap superior terhadap bangsa lain. Sementara itu, nasionalisme dalam konteks Indonesia lebih menekankan pada...",,Semangat keunggulan budaya lokal yang harus dikembangkan secara kompetitif terhadap budaya asing,Rasa cinta tanah air yang diwujudkan melalui perjuangan untuk kepentingan suku dan agama,Upaya memperkuat identitas nasional dengan menutup diri dari pengaruh luar yang merusak nilai luhur bangsa,"Kesadaran sebagai bangsa yang berdaulat dan beragam, dengan menjunjung persatuan serta penghargaan terhadap perbedaan",Dorongan untuk mempertahankan ideologi bangsa dengan menolak semua bentuk globalisasi budaya,5,0,0,0,0,,,,,,
2,TWK,"Pada masa penjajahan Belanda, akses pendidikan formal sangat terbatas bagi rakyat pribumi. Sekolah-sekolah kolonial lebih mengutamakan kepentingan pemerintah Hindia Belanda dan cenderung mengabaikan nilai-nilai kebudayaan lokal. Berdirinya Taman Siswa pada 1922 dilatarbelakangi oleh...",,Kebutuhan menyediakan pendidikan agama bagi masyarakat Jawa secara mandiri,Keinginan menciptakan sistem pendidikan yang bebas dari pengaruh Barat secara total,Reaksi terhadap sistem pendidikan kolonial yang diskriminatif dan tidak sesuai dengan jati diri bangsa,Harapan agar rakyat pribumi bisa lebih mudah diterima dalam pemerintahan kolonial,Ambisi Ki Hadjar Dewantara untuk bersaing dengan sekolah-sekolah Belanda secara akademik,5,0,0,0,0,,,,,,
3,TWK,Kongres Pemuda II pada tahun 1928 menjadi tonggak penting lahirnya semangat kebangsaan Indonesia. Ikrar dalam Sumpah Pemuda menunjukkan bahwa para pemuda mulai menyadari pentingnya...,,menyatukan perjuangan antar organisasi pemuda dalam satu arah nasional,membentuk negara Indonesia merdeka berdasarkan kebhinekaan daerah,memperjuangkan kesetaraan hak seluruh suku bangsa di bawah kolonialisme,melebur identitas kedaerahan ke dalam identitas nasional yang satu,membentuk kekuatan politik baru untuk menyaingi dominasi kolonial Belanda,5,0,0,0,0,,,,,,
4,TWK,"Dalam sidang PBB dan forum internasional lainnya, strategi utama yang digunakan Mohammad Hatta untuk memperjuangkan kemerdekaan Indonesia adalah…",,Menekankan hak penentuan nasib sendiri bagi bangsa Indonesia sebagai prinsip universal,Mengangkat penderitaan rakyat Indonesia akibat penjajahan sebagai isu kemanusiaan global,Menunjukkan kesiapan Indonesia membentuk pemerintahan sendiri secara konstitusional,Membuktikan bahwa Indonesia telah merdeka secara de facto dan de jure,Mendesak negara-negara besar agar tidak mengakui Belanda sebagai pemegang kedaulatan di Indonesia,5,0,0,0,0,,,,,,
5,TWK,Salah satu tantangan utama terhadap nasionalisme generasi muda di era digital adalah…,,Minimnya partisipasi pemuda dalam kegiatan sosial berbasis nilai kebangsaan,Maraknya penyebaran budaya populer global yang mengikis identitas lokal,Lemahnya kurikulum pendidikan karakter di lingkungan sekolah formal,Dominasi konten hiburan asing yang menurunkan minat terhadap budaya nasional,Rendahnya kesadaran kritis terhadap informasi yang bertentangan dengan nilai luhur bangsa,5,0,0,0,0,,,,,,
6,TWK,Seorang pemuda menolak simbol negara dan mengajak masyarakat mengganti sistem bernegara dengan ideologi tunggal yang diyakininya. Bentuk ancaman terhadap nasionalisme yang paling tepat adalah…,,Fanatisme kelompok yang menolak keberagaman ideologi,Radikalisme yang bertentangan dengan konsensus nasional,Separatisme ideologis yang memicu pemisahan wilayah,Intoleransi terhadap simbol dan praktik kebangsaan,Disintegrasi sosial akibat konflik pandangan,5,0,0,0,0,,,,,,
7,TWK,"Bacalah teks berikut!
Urbanisasi yang terjadi secara besar-besaran ke kota-kota besar di Indonesia memunculkan berbagai persoalan. Kepadatan penduduk menyebabkan permukiman kumuh tumbuh di berbagai sudut kota. Selain itu, meningkatnya kebutuhan akan lapangan kerja dan layanan publik seperti kesehatan dan pendidikan menambah beban pemerintah daerah. Kondisi ini memperlihatkan bahwa pertumbuhan penduduk yang tidak seimbang dengan pembangunan dapat menghambat kualitas hidup masyarakat kota.
Apa ide pokok paragraf tersebut?",,Urbanisasi menyebabkan permukiman kumuh dan pengangguran meningkat.,Urbanisasi besar-besaran menambah beban pemerintah daerah.,Pertumbuhan penduduk yang tidak seimbang dengan pembangunan menghambat kualitas hidup.,Banyak masyarakat pindah ke kota karena berharap kehidupan lebih baik.,Kebutuhan layanan publik meningkat akibat pertumbuhan penduduk.,5,0,0,0,0,,,,,,
8,TWK,"Bacalah paragraf berikut!
Dalam sebuah kampung kecil yang terletak di lereng gunung, warga saling membantu tanpa diminta. Ketika ada warga yang sedang sakit, tetangga datang membawa makanan dan bergantian menjaga. Anak-anak terbiasa menyapa orang dewasa dengan sopan, dan para orang tua selalu memberi teladan lewat tindakan sederhana seperti membuang sampah pada tempatnya. Tidak ada aturan tertulis, tapi semua seolah tahu batas dan kewajiban masing-masing.
Nilai sosial yang paling menonjol dalam paragraf tersebut adalah…",,Kejujuran dan keteladanan sebagai fondasi masyarakat.,Gotong royong dan kepedulian antarwarga.,Kedisiplinan dan kepatuhan terhadap aturan.,Ketertiban dan ketaatan pada norma hukum.,Kesederhanaan dan rasa hormat terhadap alam.,5,0,0,0,0,,,,,,
9,TWK,"Kata yang tepat untuk melengkapi bagian rumpang kalimat berikut adalah...
""Kemajuan teknologi informasi saat ini _____ kehidupan manusia, baik dari segi komunikasi maupun cara berpikir, sehingga kita perlu _____ dengan bijak.""",,mengubah – memanfaatkannya,merubah – menggunakannya,mempengaruhi – menanggapinya,memengaruhi – menggunakannya,mengubah – menolaknya,5,0,0,0,0,,,,,,
10,TWK,Manakah kalimat berikut yang menggunakan struktur dan ejaan baku sesuai kaidah Bahasa Indonesia?,,Para hadirin sekalian dimohon untuk memperhatikan susunan acara yang telah dibagikan.,"Untuk mengoptimalkan kinerja, manajemen akan merevisi SOP yang sudah berlaku semenjak tahun lalu.",Beliau menyarankan agar kita senantiasa menjaga kesehatan dan pola hidup yang teratur.,Rapat tersebut tidak dapat dihadiri oleh saya karena ada kegiatan yang tidak dapat ditinggal.,"Demi kelancaran acara, panitia mengkoordinir peserta agar segera memasuki ruangan.",5,0,0,0,0,,,,,,
11,TWK,"Kalimat berikut ini tidak efektif:
Untuk dapat memperoleh hasil yang maksimal, maka kita harus berusaha dengan sungguh-sungguh dan penuh semangat yang tinggi.
Manakah perbaikan yang paling tepat?",,Kita harus berusaha sungguh-sungguh dan penuh semangat untuk mendapatkan hasil maksimal.,"Untuk mendapatkan hasil maksimal, maka kita harus berusaha sungguh-sungguh dan penuh semangat.",Maka kita harus berusaha sungguh-sungguh supaya hasil yang didapatkan bisa maksimal.,"Untuk dapat memperoleh hasil yang maksimal, kita harus dengan semangat yang tinggi berusaha sungguh-sungguh.","Agar hasilnya bisa maksimal, maka kita harus sungguh-sungguh dan penuh semangat berusaha.",5,0,0,0,0,,,,,,
