number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion
1,TWK,"Pancasila sebagai dasar negara Indonesia pertama kali dirumuskan dalam sidang BPUPKI oleh ...","Ir. Soekarno","Mohammad Hatta","Mr. Soepomo","K.H. Agus Salim","Ahmad Soebardjo",5,0,0,0,0,"Ir. Soekarno menyampaikan rumusan dasar negara yang kemudian diberi nama Pancasila dalam sidang BPUPKI pada tanggal 1 Juni 1945."
2,TWK,"Sila kedua Pancasila berbunyi 'Kemanusiaan yang Adil dan Beradab'. Pengamalan sila ini dalam kehidupan sehari-hari ditunjukkan oleh sikap ...","Mengutamakan kepentingan kelompok sendiri di atas segalanya","Mengakui persamaan derajat dan hak setiap manusia tanpa membedakan suku dan agama","Mematuhi semua perintah atasan tanpa terkecuali","Hanya bergaul dengan orang yang satu keyakinan","Menolak bantuan dari negara asing dalam kondisi apapun",0,5,0,0,0,"Sila kedua menekankan penghargaan terhadap harkat dan martabat manusia serta pengakuan persamaan derajat tanpa diskriminasi."
3,TWK,"Semangat Sumpah Pemuda 28 Oktober 1928 yang paling relevan dengan kehidupan berbangsa saat ini adalah ...","Menggunakan bahasa daerah dalam forum resmi kenegaraan","Memprioritaskan kepentingan daerah asal di atas kepentingan nasional","Mempertahankan persatuan dan kesatuan bangsa di tengah keberagaman","Menghapuskan semua tradisi lokal demi modernisasi","Membentuk negara federal berdasarkan kepulauan",0,0,5,0,0,"Sumpah Pemuda menegaskan semangat persatuan: satu tanah air, satu bangsa, dan satu bahasa. Nilai ini tetap relevan untuk menjaga keutuhan NKRI di tengah kemajemukan."
4,TWK,"Lambang negara Garuda Pancasila ditetapkan berdasarkan ...","Peraturan Pemerintah Nomor 66 Tahun 1951","UU Nomor 24 Tahun 2009","Keputusan Presiden Nomor 10 Tahun 1950","Instruksi Menteri Pendidikan Tahun 1949","TAP MPR Nomor I Tahun 1945",0,0,5,0,0,"Lambang negara Garuda Pancasila ditetapkan berdasarkan PP No. 66 Tahun 1951. Namun penetapan bentuk dan rupa resminya melalui Keppres No. 10 Tahun 1950 yang mengesahkan rancangan Sultan Hamid II."
5,TWK,"Wawasan Nusantara merupakan cara pandang bangsa Indonesia terhadap diri dan lingkungannya yang dilandasi oleh ...","Kepentingan ekonomi semata","Superioritas militer","Kesatuan wilayah dan persatuan bangsa berdasarkan Pancasila dan UUD 1945","Dominasi suku mayoritas","Kebijakan luar negeri yang agresif",0,0,5,0,0,"Wawasan Nusantara adalah cara pandang bangsa Indonesia berdasarkan Pancasila dan UUD 1945 tentang diri dan lingkungannya dalam mengekspresikan jati diri sebagai bangsa yang merdeka, berdaulat, dan bermartabat."
6,TWK,"Salah satu tujuan nasional Indonesia yang tercantum dalam Pembukaan UUD 1945 alinea keempat adalah ...","Menjadi negara superpower dunia","Mencerdaskan kehidupan bangsa","Membangun hegemoni di Asia Tenggara","Menghapuskan semua pajak bagi rakyat","Menjadikan bahasa Inggris sebagai bahasa resmi kedua",0,5,0,0,0,"Alinea IV Pembukaan UUD 1945 menyebutkan empat tujuan nasional: (1) melindungi segenap bangsa, (2) memajukan kesejahteraan umum, (3) mencerdaskan kehidupan bangsa, (4) ikut melaksanakan ketertiban dunia."
7,TWK,"Bhinneka Tunggal Ika sebagai semboyan negara mengandung makna bahwa bangsa Indonesia ...","Harus menyeragamkan seluruh budaya yang ada","Menghargai keberagaman namun tetap bersatu sebagai satu bangsa","Mengutamakan budaya mayoritas sebagai budaya nasional","Menolak pengaruh budaya asing","Bersatu hanya dalam bidang politik saja",0,5,0,0,0,"Bhinneka Tunggal Ika berasal dari Kitab Sutasoma karya Mpu Tantular, bermakna 'berbeda-beda tetapi tetap satu'. Semboyan ini menegaskan bahwa keberagaman suku, agama, ras, dan budaya adalah kekuatan bangsa yang harus disatukan."
8,TWK,"Pasal 1 ayat (2) UUD 1945 menyatakan bahwa kedaulatan berada di tangan rakyat dan dilaksanakan menurut ...","Kehendak presiden","Keputusan DPR","Undang-Undang Dasar","Keputusan MPR","Hukum adat setempat",0,0,5,0,0,"Pasal 1 ayat (2) UUD 1945 hasil amandemen ketiga menyatakan: 'Kedaulatan berada di tangan rakyat dan dilaksanakan menurut Undang-Undang Dasar.'"
9,TWK,"Lembaga negara yang berwenang menguji undang-undang terhadap UUD 1945 (judicial review) adalah ...","Mahkamah Agung","Dewan Perwakilan Rakyat","Mahkamah Konstitusi","Badan Pemeriksa Keuangan","Komisi Yudisial",0,0,5,0,0,"Berdasarkan Pasal 24C UUD 1945, Mahkamah Konstitusi berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final untuk menguji undang-undang terhadap UUD."
10,TWK,"Amandemen UUD 1945 telah dilakukan sebanyak ... kali sejak era reformasi.","Dua","Tiga","Empat","Lima","Enam",0,0,5,0,0,"UUD 1945 telah diamandemen sebanyak 4 kali: (1) 1999, (2) 2000, (3) 2001, (4) 2002. Amandemen bertujuan menyempurnakan aturan dasar tata negara."
11,TWK,"Hak warga negara untuk mendapatkan pendidikan dijamin dalam UUD 1945 Pasal ...","28","29","30","31","32",0,0,0,5,0,"Pasal 31 ayat (1) UUD 1945 menyatakan: 'Setiap warga negara berhak mendapat pendidikan.' Ayat (2) mewajibkan setiap warga negara mengikuti pendidikan dasar."
12,TWK,"Sistem pemerintahan yang dianut Indonesia berdasarkan UUD 1945 adalah ...","Parlementer","Presidensial","Semi-presidensial","Federal","Monarki konstitusional",0,5,0,0,0,"Indonesia menganut sistem pemerintahan presidensial di mana Presiden berkedudukan sebagai kepala negara sekaligus kepala pemerintahan, dipilih langsung oleh rakyat."
13,TWK,"Bentuk negara Indonesia berdasarkan Pasal 1 ayat (1) UUD 1945 adalah ...","Kerajaan","Republik","Federal","Serikat","Konfederasi",0,5,0,0,0,"Pasal 1 ayat (1) UUD 1945 menyatakan: 'Negara Indonesia ialah Negara Kesatuan, yang berbentuk Republik.'"
14,TWK,"MPR memiliki kewenangan untuk mengubah dan menetapkan UUD 1945 sebagaimana diatur dalam Pasal ...","2","3","4","5","6",0,5,0,0,0,"Pasal 3 ayat (1) UUD 1945 menyatakan: 'Majelis Permusyawaratan Rakyat berwenang mengubah dan menetapkan Undang-Undang Dasar.'"
15,TWK,"Seorang ASN menerima hadiah dari pihak yang memiliki kepentingan dengan instansinya. Sikap yang menunjukkan integritas adalah ...","Menerima hadiah karena sudah menjadi kebiasaan","Menolak hadiah dan melaporkannya sesuai ketentuan yang berlaku","Menerima hadiah lalu membagikannya kepada rekan kerja","Menerima hadiah tetapi tidak memengaruhi keputusan","Menyimpan hadiah untuk keperluan pribadi",0,5,0,0,0,"Integritas ASN menuntut penolakan terhadap gratifikasi. Sesuai UU No. 20 Tahun 2001 tentang Pemberantasan Tindak Pidana Korupsi, penerimaan gratifikasi wajib dilaporkan ke KPK dalam waktu 30 hari."
16,TWK,"Seorang pegawai menemukan kesalahan dalam laporan keuangan yang dibuat oleh atasannya. Sikap yang paling berintegritas adalah ...","Mengabaikan karena itu urusan atasan","Melapor langsung ke media massa","Menyampaikan temuan secara profesional kepada atasan dan mengusulkan perbaikan","Membicarakan di belakang dengan rekan kerja","Menunggu hingga ada audit eksternal",0,0,5,0,0,"Integritas menuntut keberanian untuk menyampaikan kebenaran secara profesional. Koreksi internal yang dilakukan secara sopan dan konstruktif menunjukkan kejujuran dan tanggung jawab."
17,TWK,"Prinsip akuntabilitas dalam penyelenggaraan pemerintahan bermakna bahwa ...","Pejabat publik hanya bertanggung jawab kepada atasannya","Setiap kebijakan dan tindakan pejabat publik dapat dipertanggungjawabkan kepada publik","Program pemerintah tidak perlu dievaluasi","Laporan keuangan cukup diketahui internal saja","Rakyat tidak perlu mengetahui penggunaan anggaran",0,5,0,0,0,"Akuntabilitas adalah prinsip di mana setiap penyelenggara negara harus mempertanggungjawabkan pelaksanaan tugas dan fungsinya kepada publik sesuai peraturan perundang-undangan."
18,TWK,"Whistle-blowing dalam konteks antikorupsi adalah tindakan ...","Menyebarkan hoaks tentang pejabat yang tidak disukai","Mengungkapkan praktik pelanggaran atau korupsi di dalam organisasi kepada pihak berwenang","Membocorkan rahasia negara ke media","Melakukan aksi protes di depan kantor","Mengancam atasan agar memberikan kenaikan pangkat",0,5,0,0,0,"Whistle-blower (pelapor pelanggaran) berperan penting dalam pemberantasan korupsi. Mereka dilindungi oleh UU No. 13 Tahun 2006 tentang Perlindungan Saksi dan Korban."
19,TWK,"Seorang ASN mengetahui data statistik yang akan dipublikasikan mengandung manipulasi. Ia kemudian memilih untuk melaporkan hal tersebut kepada inspektorat. Sikap tersebut mencerminkan nilai ...","Nepotisme","Kolusi","Integritas","Pragmatisme","Oportunisme",0,0,5,0,0,"Melaporkan ketidakbenaran data kepada pihak berwenang merupakan wujud integritas, yaitu konsistensi antara tindakan dengan nilai kejujuran dan kebenaran."
20,TWK,"Sikap yang paling tepat bagi seorang ASN ketika terjadi konflik kepentingan antara tugas jabatan dan kepentingan pribadi adalah ...","Mengutamakan kepentingan pribadi jika tidak ada yang mengetahui","Mendahulukan kepentingan dinas dan melaporkan potensi konflik kepentingan","Meminta rekan kerja menggantikan tugasnya tanpa penjelasan","Menunda penyelesaian tugas hingga konflik selesai","Menyelesaikan kepentingan pribadi terlebih dahulu baru mengerjakan tugas",0,5,0,0,0,"Sesuai PP No. 94 Tahun 2021, ASN wajib mengutamakan kepentingan negara/dinas di atas kepentingan pribadi dan melaporkan potensi konflik kepentingan."
21,TWK,"Sistem pertahanan negara Indonesia berdasarkan UU No. 3 Tahun 2002 menganut sistem ...","Pertahanan militer murni","Pertahanan rakyat semesta","Pertahanan profesional","Pertahanan aliansi militer","Pertahanan pasif",0,5,0,0,0,"UU No. 3 Tahun 2002 tentang Pertahanan Negara menyatakan Indonesia menganut sistem pertahanan rakyat semesta (Sishankamrata) yang melibatkan seluruh komponen bangsa."
22,TWK,"Pasal 27 ayat (3) UUD 1945 menyatakan bahwa setiap warga negara berhak dan wajib ikut serta dalam ...","Pemilihan umum","Pembangunan ekonomi","Upaya pertahanan dan keamanan negara","Organisasi kemasyarakatan","Kegiatan partai politik",0,0,5,0,0,"Pasal 27 ayat (3) UUD 1945 menyatakan: 'Setiap warga negara berhak dan wajib ikut serta dalam upaya pembelaan negara.'"
23,TWK,"Ancaman terhadap NKRI yang bersifat non-militer di era modern antara lain ...","Invasi militer negara tetangga","Penyebaran ideologi radikal melalui media sosial dan hoaks","Serangan udara dari negara asing","Pendudukan wilayah perbatasan","Blokade laut oleh angkatan laut asing",0,5,0,0,0,"Ancaman non-militer meliputi ideologi, politik, ekonomi, sosial budaya, teknologi, dan keamanan publik. Penyebaran radikalisme via media sosial termasuk ancaman non-militer yang serius di era digital."
24,TWK,"Komponen cadangan dalam sistem pertahanan negara terdiri atas ...","Hanya prajurit TNI","Seluruh warga negara, sumber daya alam, sumber daya buatan, dan sarana prasarana","Hanya polisi dan tentara","Hanya lembaga swadaya masyarakat","Hanya veteran dan purnawirawan",0,5,0,0,0,"Berdasarkan UU No. 3 Tahun 2002, komponen cadangan meliputi warga negara, sumber daya alam, sumber daya buatan, serta sarana dan prasarana yang disiapkan untuk memperbesar dan memperkuat komponen utama."
25,TWK,"Patriotisme dalam konteks ASN modern diwujudkan melalui ...","Berperang di medan pertempuran","Mengutamakan produk luar negeri untuk efisiensi","Bekerja dengan dedikasi tinggi untuk melayani masyarakat dan memajukan bangsa","Menolak semua bentuk kerja sama internasional","Memperbesar anggaran militer",0,0,5,0,0,"Di era modern, patriotisme ASN diwujudkan melalui dedikasi profesional dalam pelayanan publik, inovasi untuk kemajuan bangsa, dan menjaga kedaulatan negara melalui peran masing-masing."
26,TWK,"Bela negara bagi seorang pelajar dapat diwujudkan melalui ...","Wajib mengikuti pelatihan militer","Belajar dengan sungguh-sungguh dan menjaga persatuan di lingkungan sekolah","Mengabaikan pelajaran sejarah","Hanya mementingkan nilai akademis","Membentuk kelompok eksklusif berdasarkan suku",0,5,0,0,0,"Pasal 9 ayat (2) UU No. 3 Tahun 2002 menyebutkan bela negara mencakup pendidikan kewarganegaraan, pelatihan dasar militer, pengabdian sebagai prajurit TNI, dan pengabdian sesuai profesi."
27,TWK,"Kata baku yang benar menurut KBBI adalah ...","analisa","metoda","analisis","praktek","sistim",0,0,5,0,0,"Berdasarkan KBBI dan Pedoman Umum Ejaan Bahasa Indonesia (PUEBI), bentuk baku yang benar adalah 'analisis' (bukan 'analisa'), 'metode' (bukan 'metoda'), 'praktik' (bukan 'praktek'), dan 'sistem' (bukan 'sistim')."
28,TWK,"Penggunaan tanda koma (,) yang tepat terdapat pada kalimat ...","Ia membeli buku, pensil dan tas.","Oleh karena itu, kita harus belajar lebih giat.","Saya pergi, ke pasar kemarin sore.","Ibu memasak, nasi goreng untuk sarapan.","Dia berlari, sangat cepat sekali.",0,5,0,0,0,"Tanda koma digunakan setelah kata penghubung antarkalimat seperti 'oleh karena itu', 'namun', 'akan tetapi' di awal kalimat. Kalimat B menerapkan aturan ini dengan benar."
29,TWK,"Kalimat efektif adalah kalimat yang memenuhi syarat kesepadanan, kehematan, dan kelogisan. Contoh kalimat efektif adalah ...","Bagi para siswa-siswa diharapkan mengumpulkan tugas.","Kepada Bapak Kepala Sekolah kami persilakan untuk memberikan sambutan.","Rapat itu membahas tentang kenaikan gaji karyawan.","Pemerintah telah menetapkan kebijakan baru terkait pendidikan nasional.","Di dalam di surat kabar itu dimuat berita gempa.",0,0,0,5,0,"Kalimat D memenuhi syarat efektif: subjek jelas (Pemerintah), predikat tepat (menetapkan), objek ada (kebijakan baru), dan keterangan lengkap. Kalimat lain mengandung pemborosan kata atau ketidaklogisan."
30,TWK,"Makna kata 'resesi' dalam bidang ekonomi adalah ...","Peningkatan drastis nilai mata uang","Penurunan aktivitas ekonomi secara signifikan dalam periode tertentu","Kenaikan harga barang secara umum dan terus-menerus","Keseimbangan antara ekspor dan impor","Peningkatan produksi industri dalam negeri",0,5,0,0,0,"Resesi ekonomi adalah penurunan signifikan aktivitas ekonomi yang berlangsung lebih dari beberapa bulan, terlihat dari penurunan PDB, pendapatan riil, lapangan kerja, produksi industri, dan penjualan."
31,TIU,"Jika 3x + 7 = 22, maka nilai x adalah ...",3,4,5,6,7,0,0,5,0,0,3x + 7 = 22; 3x = 15; x = 5.
32,TIU,Sebuah toko memberikan diskon 20% untuk barang seharga Rp250.000. Harga yang harus dibayar adalah ...,Rp150.000,Rp175.000,Rp200.000,Rp225.000,Rp180.000,0,0,5,0,0,Diskon 20% dari 250.000 = 50.000. Harga bayar = 250.000 - 50.000 = Rp200.000.
33,TIU,"Bak air dapat diisi penuh dalam 6 jam oleh keran A dan 4 jam oleh keran B. Jika keduanya dibuka bersamaan, bak penuh dalam ...",2 jam,2 jam 12 menit,2 jam 24 menit,3 jam,3 jam 30 menit,0,0,5,0,0,"Keran A = 1/6 per jam, keran B = 1/4 per jam. Gabungan = 5/12 per jam. Waktu = 12/5 = 2,4 jam = 2 jam 24 menit."
34,TIU,"Tentukan angka berikutnya dalam deret: 2, 6, 18, 54, ...",108,152,162,172,180,0,0,5,0,0,Deret geometri dengan rasio 3. 54 x 3 = 162.
35,TIU,"Tentukan angka berikutnya: 1, 4, 9, 16, 25, ...",30,32,36,40,49,0,0,5,0,0,"Deret bilangan kuadrat: 1 pangkat 2, 2 pangkat 2, dst. Berikutnya 6 pangkat 2 = 36."
