number,segment,sub_category,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
1,TWK,Pilar Negara,,Menyesuaikan dengan sistem parlementer murni yang mulai diadopsi Indonesia pasca reformasi,Mengurangi beban kerja Presiden agar lebih fokus pada kebijakan luar negeri dan keamanan,Menghindari dominasi kekuasaan eksekutif (executive heavy) dan mengembalikan fungsi *checks and balances*,Meningkatkan produktivitas legislasi yang selama Orde Baru dianggap terlalu lambat,Memastikan seluruh anggota dewan mendapatkan jatah proyek legislasi nasional,0,0,5,0,0,Amandemen pertama UUD 1945 menggeser porsi terbesar kekuasaan legislasi dari Presiden (executive heavy) ke DPR. Hal ini merupakan perwujudan prinsip *checks and balances* untuk mencegah otoritarianisme dan mengoptimalkan fungsi kontrol parlemen.,,,,,,
2,TWK,Bela Negara,,"Meningkatkan literasi keamanan digital dasar, menjaga kerahasiaan data pribadi, dan tidak menyebarkan tautan mencurigakan (*phishing*)",Menghentikan seluruh penggunaan teknologi digital dan kembali menggunakan sistem pengarsipan manual,Mempelajari teknik peretasan secara otodidak untuk melakukan serangan balik ke negara pelaku,Menuntut pemerintah untuk segera merekrut *hacker* asing sebagai tentara bayaran siber,Menyebarkan berita peretasan tersebut secara masif di media sosial agar masyarakat waspada,5,0,0,0,0,"Dalam konsep pertahanan nirmiliter, bela negara sipil dilakukan sesuai dengan kapasitas profesi dan kemampuan dasar. Menjaga keamanan data pribadi dan literasi digital adalah bentuk *defense* lapis pertama dari ancaman siber bagi masyarakat umum.",,,,,,
3,TWK,Pilar Negara,,"Merumuskan peraturan daerah (Perda) yang inklusif, berlandaskan hukum positif nasional, dan melindungi hak sipil seluruh penduduk tanpa diskriminasi",Menghapus semua hari libur keagamaan minoritas untuk efisiensi hari kerja pemerintahan,Mewajibkan hukum agama mayoritas diberlakukan bagi seluruh warga demi keteraturan sosial,Membatasi akses pembangunan rumah ibadah bagi agama minoritas demi mencegah konflik horizontal,Mewajibkan minoritas untuk mengadopsi tradisi dan ritual mayoritas sebagai syarat mendapatkan pelayanan administrasi,5,0,0,0,0,"Bhinneka Tunggal Ika menghendaki perlindungan hak bagi semua golongan, bukan tirani mayoritas. Kebijakan publik (Perda) harus selaras dengan konstitusi nasional yang melindungi HAM dan kebebasan beragama, serta berlaku inklusif.",,,,,,
4,TWK,Integritas,,Menyebarkan dokumen pengadaan tersebut ke media massa dan media sosial agar viral dan mendapat atensi,Mundur dari proyek tersebut secara diam-diam dan meminta mutasi ke divisi lain agar terhindar dari hukum,Mengancam pimpinan akan membocorkan hal tersebut kecuali jika ia diberikan bagian dari proyek,Melaporkan secara anonim kepada instansi penegak hukum dan instrumen pengawasan internal (*whistleblowing system*) disertai bukti yang valid,Mengabaikan hal tersebut karena itu adalah tanggung jawab penuh dan risiko pimpinan,0,0,0,5,0,"Integritas mensyaratkan tindakan nyata terhadap pelanggaran hukum. Menggunakan *Whistleblowing System* (WBS) secara resmi disertai bukti adalah cara elegan, sah secara hukum, dan melindungi pelapor dari intervensi atau fitnah langsung.",,,,,,
5,TWK,Pilar Negara,,Menyita seluruh aset perusahaan asing dan membagikannya secara merata kepada masyarakat miskin,Mewajibkan seluruh lulusan universitas untuk menjadi Pegawai Negeri Sipil agar pendapatannya merata,Membiarkan pasar mengatur harga kebutuhan pokok tanpa campur tangan agar terjadi efisiensi alami,Memutus seluruh hubungan perdagangan internasional dan menerapkan sistem ekonomi autarki tertutup,"Memberikan subsidi, perlindungan hukum, dan insentif modal khusus bagi UMKM dan koperasi untuk bersaing",0,0,0,0,5,"Keadilan sosial tidak berarti sama rata secara komunis, dan tidak membiarkan persaingan bebas secara kapitalis murni. Negara harus hadir (intervensi afirmatif) dengan melindungi entitas ekonomi lemah (UMKM/Koperasi) agar terjadi pemerataan ekonomi.",,,,,,
6,TWK,Nasionalisme,,Sumpah Pemuda secara otomatis menghapuskan seluruh bahasa daerah di Nusantara dan menggantinya dengan Bahasa Melayu,Perlawanan berubah menjadi murni diplomasi melalui dewan rakyat (Volksraad) tanpa ada lagi gerakan bawah tanah,Perlawanan fisik di berbagai daerah menjadi lebih terorganisir di bawah satu komando tentara nasional,"Organisasi pergerakan mulai meninggalkan sentimen kedaerahan (Jong Java, Jong Sumatranen Bond) dan bergerak dengan identitas ke-Indonesiaan yang lebih politis",Pemerintah kolonial Belanda langsung memberikan kemerdekaan secara bertahap karena takut akan persatuan pemuda,0,0,0,5,0,"Pasca Sumpah Pemuda, terjadi *shifting* paradigma. Ikatan kedaerahan melebur menjadi nasionalisme politik. Munculnya identitas 'Indonesia' membuat perjuangan lebih solid secara ideologis melawan Belanda, bukan sekadar perlawanan fisik sporadis.",,,,,,
7,TWK,Bahasa Negara,,Penggunaan tanda koma sebelum kata 'namun' yang melanggar ejaan,Ketidakjelasan subjek karena diletakkan di akhir kalimat,Pemborosan kata (pleonasme) pada penggunaan konjungsi dan kata keterangan yang bermakna sama,Pemilihan kata 'bersikeras' yang tidak baku menurut KBBI,Penggunaan kata 'oleh' yang tidak tepat setelah predikat pasif,0,0,5,0,0,"Kalimat tersebut boros (pleonasme). Pertama, penggunaan 'Meskipun...' di awal anak kalimat tidak boleh diikuti konjungsi 'namun' di awal induk kalimat. Kedua, 'masih saja tetap' adalah pemborosan karena memiliki makna yang sama.",,,,,,
8,TWK,Nasionalisme,,Membangun kemandirian nasional yang kuat sekaligus aktif dalam diplomasi perdamaian dunia yang menghargai kedaulatan negara lain,Menutup akses informasi global agar ideologi asing tidak mencemari kemurnian budaya nasional,Melakukan embargo ekonomi kepada seluruh negara yang sedang berkonflik sebagai bentuk protes,Mendukung salah satu blok militer besar di dunia untuk mendapatkan jaminan keamanan nasional,Membuka pintu selebar-lebarnya bagi semua pengungsi asing tanpa proses penyaringan demi kemanusiaan,5,0,0,0,0,"Nasionalisme inklusif (Sila ke-2 dan ke-3) berarti mandiri dan kuat secara internal, namun di ranah eksternal bertindak aktif menjaga perdamaian dunia tanpa memihak secara buta, menghormati hak asasi manusia dan kedaulatan bangsa lain.",,,,,,
9,TWK,Pilar Negara,,Uji materi (Judicial Review) ke Mahkamah Agung (MA),Gugatan warga negara (Citizen Lawsuit) ke Pengadilan Tata Usaha Negara (PTUN),Dekrit Presiden untuk mencabut Peraturan Pemerintah tersebut,Uji materi (Judicial Review) ke Mahkamah Konstitusi (MK),Hak Angket oleh Dewan Perwakilan Rakyat (DPR),5,0,0,0,0,"Sesuai kewenangannya, pengujian peraturan perundang-undangan di bawah Undang-Undang (seperti PP, Perpres, Perda) terhadap Undang-Undang dilakukan oleh Mahkamah Agung (MA). Sedangkan pengujian UU terhadap UUD 1945 dilakukan oleh Mahkamah Konstitusi (MK).",,,,,,
10,TWK,Nasionalisme,,Implementasi otonomi daerah dan desentralisasi fiskal yang transparan dan berkeadilan,Sentralisasi penuh seluruh pendapatan daerah ke kementerian keuangan pusat,Pembentukan negara serikat (federalisme) agar setiap daerah memiliki kedaulatan penuh,Penyeragaman budaya lokal agar memiliki satu identitas tunggal yang sama dengan ibu kota,Penempatan komandan militer sebagai kepala daerah di seluruh provinsi rawan,5,0,0,0,0,"Otonomi daerah dan desentralisasi fiskal (Dana Alokasi Umum/Khusus) di era reformasi dirancang untuk mendistribusikan kewenangan dan kesejahteraan secara adil ke daerah, guna mencegah kecemburuan sosial-ekonomi yang memicu separatisme.",,,,,,
